#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Nov 22 10:32:30 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Trivium_map.ncd
#OUTPUT FILE:      Trivium_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
T7,IV_IN<80>,IBUF,IP_L08P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T8,SK_IN<1>,IBUF,IO_L10N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,SK_IN<10>,IBUF,IP_L14N_2/M2/GCLK1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T11,SK_IN<16>,IBUF,IP_L17P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T12,SK_IN<23>,IBUF,IO_L20P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,SK_IN<32>,IBUF,IO_L24P_2/A21,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T15,SK_IN<34>,IBUF,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T16,SK_IN<38>,IBUF,IO_L26P_2/VS0/A17,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T17,SK_IN<41>,IBUF,IO_L01N_1/A15,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T18,SK_IN<43>,IBUF,IO_L02N_1/A13,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
U1,IV_IN<63>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U2,,,GND,,,,,,,,,,,,
U3,IV_IN<65>,IBUF,IO_L01P_2/CSO_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U4,IV_IN<69>,IBUF,IO_L03P_2/DOUT/BUSY,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U5,IV_IN<71>,IBUF,IO/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U6,IV_IN<77>,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,SK_IN<2>,IBUF,IP_L11P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U9,SK_IN<7>,IBUF,IO_L13P_2/D4/GCLK14,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U10,SK_IN<9>,IBUF,IP_L14P_2/RDWR_B/GCLK0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U11,SK_IN<17>,IBUF,IP_L17N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,SK_IN<25>,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U14,SK_IN<31>,IBUF,IP_L23N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U15,SK_IN<36>,IBUF,IO_L25N_2/VS1/A18,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U16,SK_IN<39>,IBUF,IO_L26N_2/CCLK,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
U17,,,GND,,,,,,,,,,,,
U18,SK_IN<40>,IBUF,IO_L01P_1/A16,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
V1,,,GND,,,,,,,,,,,,
V2,IV_IN<64>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V3,IV_IN<68>,IBUF,IP_L02N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V4,IV_IN<67>,IBUF,IP_L02P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V5,IV_IN<76>,IBUF,IO_L06P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V6,,DIFFS,IO_L06N_2/VREF_2,UNUSED,,2,,,,,,,,,
V7,KEY_STREAM_OUT,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
V8,SK_IN<3>,IBUF,IP_L11N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V9,SK_IN<8>,IBUF,IO_L13N_2/D3/GCLK15,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,SK_IN<13>,IBUF,IO/M1,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V12,SK_IN<21>,IBUF,IO_L19P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V13,SK_IN<22>,IBUF,IO_L19N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V14,SK_IN<30>,IBUF,IP_L23P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V15,SK_IN<35>,IBUF,IO_L25P_2/VS2/A19,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V16,SK_IN<37>,IBUF,IP,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
